firm_id,date,brand,reputation,crypto,patent,leadership
General Electric,2017-7,0.838776,0.743123,0.502086,-0.846775,-0.880605
General Electric,2017-8,0.769326,0.757952,-0.335879,-0.797074,-0.792832
General Electric,2017-9,0.924009,0.692556,-0.33648,-0.885832,-0.841535
General Electric,2017-10,0.692684,0.629276,0.120195,-0.686093,-0.677502
General Electric,2017-11,0.851076,0.380722,-0.00471,-0.805813,-0.802628
General Electric,2017-12,0.728714,0.403861,-0.487567,-0.703239,-0.667545
General Motors,2017-1,0.861246,0.53523,-0.645033,-0.779717,-0.789778
General Motors,2017-2,0.783045,0.825906,-0.523853,-0.807251,-0.785184
General Motors,2017-3,0.744436,0.763687,-0.433781,-0.731536,-0.678925
General Motors,2017-4,0.822083,0.726457,-0.314387,-0.817976,-0.766372
General Motors,2017-5,0.79542,0.595695,-0.329353,-0.767153,-0.689981
General Motors,2017-6,0.948105,0.816825,-0.216088,-0.861221,-0.831646
General Motors,2017-7,0.754022,0.468148,-0.147585,-0.785163,-0.693582
General Motors,2017-8,0.947685,0.571952,0.150312,-0.876276,-0.831088
General Motors,2017-9,0.816509,0.207644,-0.217919,-0.817661,-0.664559
General Motors,2017-10,0.912783,0.41965,-0.220395,-0.862469,-0.828553
General Motors,2017-11,0.801304,0.463056,-0.149551,-0.780543,-0.748742
General Motors,2017-12,0.659327,0.754098,0.217498,-0.710426,-0.69677
HubSpot,2017-1,0.773183,-0.06097,-0.330731,-0.740482,-0.479547
HubSpot,2017-2,0.700969,-0.046617,-0.261129,-0.747574,-0.438671
HubSpot,2017-3,0.777387,-0.062599,-0.334282,-0.761529,-0.519471
HubSpot,2017-4,0.833763,0.015295,-0.380233,-0.862804,-0.582609
HubSpot,2017-5,0.710853,0.03499,-0.351401,-0.721114,-0.436864
HubSpot,2017-6,0.670887,-0.113186,-0.431166,-0.697161,-0.482811
HubSpot,2017-7,0.89638,-0.059636,-0.4698,-0.881647,-0.319977
HubSpot,2017-8,0.792907,0.00615,-0.281832,-0.732728,-0.441933
HubSpot,2017-9,0.701243,0.030542,-0.372233,-0.702026,-0.406512
HubSpot,2017-10,0.767428,0.080712,-0.438837,-0.772631,-0.421559
HubSpot,2017-11,0.77551,0.079813,-0.396697,-0.765394,-0.506796
HubSpot,2017-12,0.713955,0.337578,-0.413638,-0.761836,-0.497353
ServiceNow,2017-1,0.414512,0.714681,-0.66864,-0.632182,-0.67528
ServiceNow,2017-2,-0.253768,0.920541,-0.804624,-0.315735,-0.771171
ServiceNow,2017-3,0.281619,0.738931,-0.750234,-0.521193,-0.666112
ServiceNow,2017-4,-0.370045,0.889533,-0.796445,-0.38377,-0.652432
ServiceNow,2017-5,0.505379,0.857235,-0.83286,-0.545836,-0.777507
ServiceNow,2017-6,0.298041,0.644489,-0.643495,-0.532386,-0.635731
ServiceNow,2017-7,-0.326426,0.777219,-0.711304,-0.534872,-0.532695
ServiceNow,2017-8,0.394513,0.899969,-0.833278,-0.30317,-0.806444
ServiceNow,2017-9,-0.055137,0.811693,-0.71136,-0.615977,-0.679246
ServiceNow,2017-10,-0.184582,0.731588,-0.701755,-0.44203,-0.636982
ServiceNow,2017-11,0.293051,0.759499,-0.681865,-0.49171,-0.653596
ServiceNow,2017-12,0.50984,0.913275,-0.822742,-0.69553,-0.723598
walmart,2017-1,0.65649,0.774688,0.217762,-0.638725,-0.771131
walmart,2017-2,0.13895,0.718191,-0.249077,-0.60019,-0.772549
walmart,2017-3,0.794148,0.715415,0.293822,-0.749094,-0.775961
walmart,2017-4,0.812081,0.556464,0.08036,-0.813646,-0.763291
walmart,2017-5,0.420212,0.671527,0.70764,-0.665187,-0.708526
walmart,2017-6,0.806398,0.234794,-0.032773,-0.749323,-0.787612
walmart,2017-7,0.7537,0.829163,-0.203649,-0.656845,-0.84372
walmart,2017-8,0.703368,0.728629,0.644863,-0.686051,-0.713512
walmart,2017-9,0.882407,0.778513,0.593335,-0.716033,-0.853593
walmart,2017-10,0.813737,0.783535,0.495776,-0.747008,-0.859657
walmart,2017-11,0.802877,0.890641,0.745781,-0.835692,-0.863993
walmart,2017-12,0.788964,0.38042,0.646892,-0.673049,-0.729326
tesla,2017-1,0.65114,0.751061,-0.341944,-0.711091,-0.756872
tesla,2017-2,0.840718,0.793564,-0.158704,-0.824687,-0.858987
tesla,2017-3,0.788011,0.660276,-0.181416,-0.752509,-0.75816
tesla,2017-4,0.76557,0.25132,0.199164,-0.730465,-0.685618
tesla,2017-5,0.791208,0.72484,-0.45391,-0.774744,-0.785505
tesla,2017-6,0.757642,0.581633,-0.100343,-0.73047,-0.70323
tesla,2017-7,0.82732,0.181882,-0.30257,-0.81786,-0.788999
tesla,2017-8,0.79337,0.662897,-0.010055,-0.783298,-0.760147
tesla,2017-9,0.870278,0.104828,-0.573485,-0.766111,-0.738013
tesla,2017-10,0.870347,0.065721,-0.328883,-0.816346,-0.798142
tesla,2017-11,0.78148,0.619207,-0.051011,-0.81387,-0.798345
tesla,2017-12,0.834299,-0.305993,-0.22391,-0.792362,-0.766877
