firm_id,date,roe,debt_ratio,gross_margin,inventory_turnover,current_ratio,cash_shortterm,total_assets
Civmec ,2017-04,0.0493,0.3547,0.0846,4.2,2.08,17.47,235.88
Civmec ,2017-05,0.0493,0.3547,0.0846,4.2,2.08,17.47,235.88
Civmec ,2017-06,0.0493,0.3547,0.0846,4.2,2.08,17.47,235.88
Civmec ,2017-07,0.033,0.30835,0.0593,3.8,2.265,12.78,217.04
Civmec ,2017-08,0.033,0.30835,0.0593,3.8,2.265,12.78,217.04
Civmec ,2017-09,0.033,0.30835,0.0593,3.8,2.265,12.78,217.04
Civmec ,2017-10,0.0702,0.331525,0.037,4.0,2.1725,15.125,226.46
Civmec ,2017-11,0.0702,0.331525,0.037,4.0,2.1725,15.125,226.46
Civmec ,2017-12,0.0702,0.331525,0.037,4.0,2.1725,15.125,226.46
ConocoPhillips,2017-01,-0.0419,0.7425,0.1422,23.5,1.43,3361.0,87973.0
ConocoPhillips,2017-02,-0.0419,0.7425,0.1422,23.5,1.43,3361.0,87973.0
ConocoPhillips,2017-03,-0.0419,0.7425,0.1422,23.5,1.43,3361.0,87973.0
ConocoPhillips,2017-04,-0.1158,0.7695,0.1378,23.45,2.0,10267.0,78004.0
ConocoPhillips,2017-05,-0.1158,0.7695,0.1378,23.45,2.0,10267.0,78004.0
ConocoPhillips,2017-06,-0.1158,0.7695,0.1378,23.45,2.0,10267.0,78004.0
ConocoPhillips,2017-07,-0.0741,0.6839,0.1481,22.89,2.38,9607.0,74861.0
ConocoPhillips,2017-08,-0.0741,0.6839,0.1481,22.89,2.38,9607.0,74861.0
ConocoPhillips,2017-09,-0.0741,0.6839,0.1481,22.89,2.38,9607.0,74861.0
ConocoPhillips,2017-10,-0.0521,0.6397,0.249,23.51,1.76,8198.0,73362.0
ConocoPhillips,2017-11,-0.0521,0.6397,0.249,23.51,1.76,8198.0,73362.0
ConocoPhillips,2017-12,-0.0521,0.6397,0.249,23.51,1.76,8198.0,73362.0
Exxon Mobil ,2017-01,0.0575,0.2373,0.2484,10.79,0.81,4897.0,344209.0
Exxon Mobil ,2017-02,0.0575,0.2373,0.2484,10.79,0.81,4897.0,344209.0
Exxon Mobil ,2017-03,0.0575,0.2373,0.2484,10.79,0.81,4897.0,344209.0
Exxon Mobil ,2017-04,0.0668,0.2257,0.2342,10.95,0.83,4042.0,343012.0
Exxon Mobil ,2017-05,0.0668,0.2257,0.2342,10.95,0.83,4042.0,343012.0
Exxon Mobil ,2017-06,0.0668,0.2257,0.2342,10.95,0.83,4042.0,343012.0
Exxon Mobil ,2017-07,0.0737,0.2146,0.2542,10.88,0.85,4266.0,349427.0
Exxon Mobil ,2017-08,0.0737,0.2146,0.2542,10.88,0.85,4266.0,349427.0
Exxon Mobil ,2017-09,0.0737,0.2146,0.2542,10.88,0.85,4266.0,349427.0
Exxon Mobil ,2017-10,0.0776,0.2177,0.2368,11.36,0.82,3177.0,348691.0
Exxon Mobil ,2017-11,0.0776,0.2177,0.2368,11.36,0.82,3177.0,348691.0
Exxon Mobil ,2017-12,0.0776,0.2177,0.2368,11.36,0.82,3177.0,348691.0
Ford Motor,2017-01,0.1238,4.7641,0.108,12.97,1.24,39989.0,244094.0
Ford Motor,2017-02,0.1238,4.7641,0.108,12.97,1.24,39989.0,244094.0
Ford Motor,2017-03,0.1238,4.7641,0.108,12.97,1.24,39989.0,244094.0
Ford Motor,2017-04,0.1201,4.5257,0.1081,12.51,1.2,39109.0,247469.0
Ford Motor,2017-05,0.1201,4.5257,0.1081,12.51,1.2,39109.0,247469.0
Ford Motor,2017-06,0.1201,4.5257,0.1081,12.51,1.2,39109.0,247469.0
Ford Motor,2017-07,0.1366,4.4828,0.1075,12.15,1.19,38081.0,251273.0
Ford Motor,2017-08,0.1366,4.4828,0.1075,12.15,1.19,38081.0,251273.0
Ford Motor,2017-09,0.1366,4.4828,0.1075,12.15,1.19,38081.0,251273.0
Ford Motor,2017-10,0.2227,4.3332,0.0957,13.99,1.23,38927.0,258496.0
Ford Motor,2017-11,0.2227,4.3332,0.0957,13.99,1.23,38927.0,258496.0
Ford Motor,2017-12,0.2227,4.3332,0.0957,13.99,1.23,38927.0,258496.0
General Electric,2017-01,0.0924,1.6891,0.2433,3.58,1.79,83513.0,351643.0
General Electric,2017-02,0.0924,1.6891,0.2433,3.58,1.79,83513.0,351643.0
General Electric,2017-03,0.0924,1.6891,0.2433,3.58,1.79,83513.0,351643.0
General Electric,2017-04,0.0676,1.7735,0.2441,3.54,1.76,84017.0,355473.0
General Electric,2017-05,0.0676,1.7735,0.2441,3.54,1.76,84017.0,355473.0
General Electric,2017-06,0.0676,1.7735,0.2441,3.54,1.76,84017.0,355473.0
General Electric,2017-07,0.0596,1.4502,0.2283,3.35,1.78,78550.0,378038.0
General Electric,2017-08,0.0596,1.4502,0.2283,3.35,1.78,78550.0,378038.0
General Electric,2017-09,0.0596,1.4502,0.2283,3.35,1.78,78550.0,378038.0
General Electric,2017-10,0.006,1.8312,0.189,4.16,1.72,82663.0,369245.0
General Electric,2017-11,0.006,1.8312,0.189,4.16,1.72,82663.0,369245.0
General Electric,2017-12,0.006,1.8312,0.189,4.16,1.72,82663.0,369245.0
General Motors,2017-01,0.2336,1.967,0.1325,8.09,0.88,23124.0,230793.0
General Motors,2017-02,0.2336,1.967,0.1325,8.09,0.88,23124.0,230793.0
General Motors,2017-03,0.2336,1.967,0.1325,8.09,0.88,23124.0,230793.0
General Motors,2017-04,0.2205,1.9484,0.1291,9.71,0.9,25731.0,240300.0
General Motors,2017-05,0.2205,1.9484,0.1291,9.71,0.9,25731.0,240300.0
General Motors,2017-06,0.2205,1.9484,0.1291,9.71,0.9,25731.0,240300.0
General Motors,2017-07,0.165,2.1315,0.1255,9.05,0.94,21246.0,229502.0
General Motors,2017-08,0.165,2.1315,0.1255,9.05,0.94,21246.0,229502.0
General Motors,2017-09,0.165,2.1315,0.1255,9.05,0.94,21246.0,229502.0
General Motors,2017-10,0.3788,2.6027,0.0968,11.06,0.89,23825.0,212482.0
General Motors,2017-11,0.3788,2.6027,0.0968,11.06,0.89,23825.0,212482.0
General Motors,2017-12,0.3788,2.6027,0.0968,11.06,0.89,23825.0,212482.0
HubSpot,2017-01,-0.3545,0.0087,0.7924,2.14,1.33,122.79,275.28
HubSpot,2017-02,-0.3545,0.0087,0.7924,2.14,1.33,122.79,275.28
HubSpot,2017-03,-0.3545,0.0087,0.7924,2.14,1.33,122.79,275.28
HubSpot,2017-04,-0.2588,1.423,0.7913,4.73,3.67,492.42,667.52
HubSpot,2017-05,-0.2588,1.423,0.7913,4.73,3.67,492.42,667.52
HubSpot,2017-06,-0.2588,1.423,0.7913,4.73,3.67,492.42,667.52
HubSpot,2017-07,-0.2541,1.4077,0.8055,4.69,3.55,491.87,686.33
HubSpot,2017-08,-0.2541,1.4077,0.8055,4.69,3.55,491.87,686.33
HubSpot,2017-09,-0.2541,1.4077,0.8055,4.69,3.55,491.87,686.33
HubSpot,2017-10,0.0572,1.4187,0.8024,5.95,3.38,504.34,712.18
HubSpot,2017-11,0.0572,1.4187,0.8024,5.95,3.38,504.34,712.18
HubSpot,2017-12,0.0572,1.4187,0.8024,5.95,3.38,504.34,712.18
ServiceNow,2017-01,-0.2808,0.12086,0.7293,9.19,1.22,975.31,2170.26
ServiceNow,2017-02,-0.2808,0.12086,0.7293,9.19,1.22,975.31,2170.26
ServiceNow,2017-03,-0.2808,0.12086,0.7293,9.19,1.22,975.31,2170.26
ServiceNow,2017-04,-0.3184,2.3632,0.742,11.3,1.73,1692.18,2924.41
ServiceNow,2017-05,-0.3184,2.3632,0.742,11.3,1.73,1692.18,2924.41
ServiceNow,2017-06,-0.3184,2.3632,0.742,11.3,1.73,1692.18,2924.41
ServiceNow,2017-07,-0.2069,2.0977,0.7411,11.13,1.66,1671.9,3069.52
ServiceNow,2017-08,-0.2069,2.0977,0.7411,11.13,1.66,1671.9,3069.52
ServiceNow,2017-09,-0.2069,2.0977,0.7411,11.13,1.66,1671.9,3069.52
ServiceNow,2017-10,-0.2005,1.5068,0.7557,13.81,1.19,1779.3,3550.25
ServiceNow,2017-11,-0.2005,1.5068,0.7557,13.81,1.19,1779.3,3550.25
ServiceNow,2017-12,-0.2005,1.5068,0.7557,13.81,1.19,1779.3,3550.25
Sinopec Group,2017-01,0.0564,0.0095,0.1608,26.15,1.72,1895.71,8436.59
Sinopec Group,2017-02,0.0564,0.0095,0.1608,26.15,1.72,1895.71,8436.59
Sinopec Group,2017-03,0.0564,0.0095,0.1608,26.15,1.72,1895.71,8436.59
Sinopec Group,2017-04,0.0564,0.0095,0.1608,26.15,1.72,1895.71,8436.59
Sinopec Group,2017-05,0.0564,0.0095,0.1608,26.15,1.72,1895.71,8436.59
Sinopec Group,2017-06,0.0564,0.0095,0.1608,26.15,1.72,1895.71,8436.59
Sinopec Group,2017-07,0.0444,0.0166,0.0808,36.18,1.67,2469.35,9130.48
Sinopec Group,2017-08,0.0444,0.0166,0.0808,36.18,1.67,2469.35,9130.48
Sinopec Group,2017-09,0.0444,0.0166,0.0808,36.18,1.67,2469.35,9130.48
Sinopec Group,2017-10,0.0444,0.0166,0.0808,36.18,1.67,2469.35,9130.48
Sinopec Group,2017-11,0.0444,0.0166,0.0808,36.18,1.67,2469.35,9130.48
Sinopec Group,2017-12,0.0444,0.0166,0.0808,36.18,1.67,2469.35,9130.48
tesla,2017-01,-0.2427,1.4093,0.2477,3.71,1.13,4006.59,25053.73
tesla,2017-02,-0.2427,1.4093,0.2477,3.71,1.13,4006.59,25053.73
tesla,2017-03,-0.2427,1.4093,0.2477,3.71,1.13,4006.59,25053.73
tesla,2017-04,-0.2009,1.2782,0.239,3.79,0.97,3035.92,26043.71
tesla,2017-05,-0.2009,1.2782,0.239,3.79,0.97,3035.92,26043.71
tesla,2017-06,-0.2009,1.2782,0.239,3.79,0.97,3035.92,26043.71
tesla,2017-07,-0.3808,1.7332,0.1505,4.19,1.09,3530.03,28107.07
tesla,2017-08,-0.3808,1.7332,0.1505,4.19,1.09,3530.03,28107.07
tesla,2017-09,-0.3808,1.7332,0.1505,4.19,1.09,3530.03,28107.07
tesla,2017-10,-0.5971,1.9705,0.1334,4.4,0.86,3367.91,28655.37
tesla,2017-11,-0.5971,1.9705,0.1334,4.4,0.86,3367.91,28655.37
tesla,2017-12,-0.5971,1.9705,0.1334,4.4,0.86,3367.91,28655.37
